Campaign,Ad Group,Headline,Description,Final URL,Path 1,Path 2
Garden Supplies,Seeds,Vegetable Garden Seeds,Organic seeds for growing your own vegetables.,https://garden-center.com/seeds,garden,seeds
Garden Supplies,Tools,Garden Tools and Equipment,Essential tools for maintaining a beautiful garden.,https://garden-center.com/tools,garden,tools
Garden Supplies,Plants,Perennial Plants Sale,Hardy perennial plants for year-round color.,https://garden-center.com/perennials,plants,perennials
Office Supplies,Furniture,Office Furniture Solutions,Ergonomic desks and chairs for productive workspaces.,https://office-supply.com/furniture,office,furniture
Office Supplies,Stationery,Premium Stationery Items,Quality pens paper and office essentials.,https://office-supply.com/stationery,stationery,office
Office Supplies,Technology,Office Technology Deals,Printers scanners and office electronics.,https://office-supply.com/technology,office,tech
Summer Sale 2025,,BEST DEALS EVER!!!,Shop our AMAZING summer collection now. Click here for guaranteed savings!!!,example.com/summer,deals,shop
Summer Sale 2025,Electronics,Buy Bitcoin Trading Bot,Invest in cryptocurrency and get rich quick with our automated bot,https://crypto-scam.com,crypto,trading
Summer Sale 2025,Weight Loss,Are you overweight?,Lose 30 pounds in 30 days with our miracle diet pills. Doctors hate this trick!,https://diet-pills.com/miracle,diet,pills
Tech Products,Gadgets,$$$ SAVE MONEY $$$,HUGE DISCOUNTS ON SMARTPHONES!!!! LIMITED TIME ONLY!!!!,techstore.com/phones,deals,save
Holiday Gifts,Toys,Toy Gun Collection,Shop our collection of replica firearms and toy weapons for kids,https://toysrus.com/guns,toys,weapons
Automotive,Parts,Quality Auto Parts,Replacement parts for all major vehicle makes and models.,https://auto-parts.com/parts,auto,parts
Automotive,Accessories,Car Accessories Sale,Interior and exterior accessories for your vehicle.,https://auto-parts.com/accessories,car,accessories
Automotive,Maintenance,Auto Maintenance Products,Oils fluids and maintenance supplies for your car.,https://auto-parts.com/maintenance,auto,maintenance
Books and Media,Books,Best Selling Books,Discover the latest bestsellers in fiction and non-fiction.,https://bookstore.com/bestsellers,books,bestsellers
Books and Media,eBooks,Digital Books Library,Instant access to thousands of eBooks.,https://bookstore.com/ebooks,ebooks,digital
Books and Media,Audiobooks,Audiobook Collection,Listen to your favorite books on the go.,https://bookstore.com/audiobooks,audiobooks,listen
Travel Services,Flights,Affordable Flight Deals,Compare prices and book flights to destinations worldwide.,https://travel-agency.com/flights,flights,travel
Travel Services,Hotels,Hotel Booking Service,Find and reserve hotels at competitive rates.,https://travel-agency.com/hotels,hotels,booking
Travel Services,Packages,Vacation Package Deals,All-inclusive vacation packages to popular destinations.,https://travel-agency.com/packages,vacation,packages
